country_code,country,year,gdp_per_capita,real_gdp_growth,inflation_rate,compulsory_education_years,population_65_plus_pct,unemployment_rate,government_expenditure_pct_gdp,government_revenue_pct_gdp,gdp_deflator_inflation,age_dependency_ratio,gross_capital_formation_pct_gdp,total_reserves_months_imports,savings_pct_gdp,exports_pct_gdp,fiscal_balance_pct_gdp,gross_debt_pct_gdp,fiscal_risk_index,fiscal_risk_index_100
KOR,"Korea, Rep.",2024,36238.639908315,2.00361101838986,2.32174328643542,9.0,19.2735131316057,2.784,23.2636701291149,25.229042256677047,4.06639736475807,42.5346866514455,29.9738499299961,6.19834331246318,35.0305415292226,44.3582383593234,-0.783187986940531,49.70053894479919,0.616913451950289,43.792907034240315
KOR,"Korea, Rep.",2025,33296.9845439195,3.17152748983935,1.94433230786366,9.0,13.8737462057967,2.683,23.2636701291149,25.229042256677047,1.80785031900311,37.299629534955,31.2486531343572,6.5467233974824,34.9926210564103,41.3214807367697,-1.431952878622746,52.25273059907391,0.47551953552990106,46.620261200772106
KGZ,Kyrgyz Republic,2010,876.954476440354,-0.471566596791618,7.96772225579684,9.0,4.44815464913301,3.503,25.6307764379006,28.1308467721619,10.0339035419669,53.1417387548341,27.4015935976563,4.98836083860494,19.9333661406826,51.5543226756177,-5.946895222346851,59.69858980538578,-0.36856843470258716,63.49889148399174
KGZ,Kyrgyz Republic,2011,1117.40174350185,5.95627429693504,16.6363262731495,9.0,4.40051764802615,3.644,25.6307764379006,28.1308467721619,22.4818422448936,53.4057245301169,25.4729638297404,3.9589255017717,17.4056258531103,54.5384771657381,-4.704615830261748,50.05575903452264,-0.2201555677499709,60.53118432679115
KGZ,Kyrgyz Republic,2012,1168.62244675446,-0.0881501998439376,2.76844236540957,9.0,4.49035630356012,3.786,25.6307764379006,28.1308467721619,8.65631680881187,54.4404735783782,34.961073696667,3.7465425740483,12.7408456529322,44.4042009680122,-5.861999576475185,50.47787934665781,-0.47147826758083655,65.55670664415979
KGZ,Kyrgyz Republic,2013,1269.66303464348,10.9154694528045,6.61375202358082,9.0,4.6301206796728,3.881,25.6307764379006,28.1308467721619,3.17518813604272,55.6741442388454,33.8988355585277,3.78093773779976,9.11687113446752,42.250153956658,-3.699422342028085,47.12475567613148,-0.2808036656482892,61.74392145598431
KGZ,Kyrgyz Republic,2014,1264.52668823891,4.02403863083252,7.5342472977589,10.0,4.79470466121749,4.02,25.9976655502703,29.448606667432,8.41522543621389,56.9069668645722,36.7567270785188,3.45867759795153,11.5268515908218,37.4486515894922,-3.068269880990232,53.59678577218526,-0.2924001485753449,61.9758081251635
KGZ,Kyrgyz Republic,2015,1105.65193844261,3.87582544512439,6.50331838993384,10.0,4.96654216127541,4.138,27.2419483499478,30.066013239815,3.42728750288953,58.150156918583,34.6714692626578,4.15506229543081,12.1732222555148,35.1896004872594,-2.516820406802583,67.08734529514548,-0.2895199326372767,61.91821448366059
KGZ,Kyrgyz Republic,2016,1103.27489428412,4.33585592190116,0.388838296895799,10.0,5.07955235536804,4.294,27.0350965882562,28.1308467721619,6.05056427055605,59.0639463884673,33.9391792937351,4.60324965025459,22.4550169419783,35.8254088751692,-5.790195419697471,59.07281847907506,-0.32860867450169173,62.6998444149389
KGZ,Kyrgyz Republic,2017,1221.39046807082,4.73993722377884,3.1753098637994,10.0,5.11917760176021,4.425,26.0497698575071,27.9702350173627,6.32714586262388,59.488277666114,32.9020914624365,4.74499564813096,26.6696732834832,34.2528413648354,-3.732926298311516,58.78610661179771,-0.22038843847228184,60.53584087796151
KGZ,Kyrgyz Republic,2018,1283.5203037417,3.75791013557165,1.54266145238436,10.0,5.1512820157017,4.559,25.4852528760826,28.0042382526007,3.44744511589256,59.9520249168602,36.0166291525462,4.20270055640122,26.5794145632991,31.6017300051143,-0.5900989580674327,54.81799104445195,-0.13659272438921674,58.86023723568134
KGZ,Kyrgyz Republic,2019,1421.99927504102,4.60062565707598,1.13362257718804,10.0,5.17384800051124,5.45,23.2122999587777,25.8113419993908,9.81131194747459,60.7277440086941,34.4462636342397,4.49570205067161,22.8790939728767,33.4764696600324,-0.0740652833018254,48.84825071689465,-0.17732915725346682,59.67481487879535
KGZ,Kyrgyz Republic,2020,1229.51766602907,-7.14897757727955,6.32542296338078,10.0,5.14875176307459,5.945,25.7762999997186,24.629473738036,5.34018553508729,61.3520516472714,25.0304913984711,7.79579502216323,29.2597222038634,29.5818778074207,-3.062229058990265,63.64300739609866,-0.3959681942177911,64.04678510055268
KGZ,Kyrgyz Republic,2021,1349.99730650542,5.50700762671923,11.9050398185147,10.0,5.11075579228056,5.149,23.4050916041465,27.311949649406,15.992797923604,61.5982158967749,26.4936655518147,5.45591908154818,18.3679451852202,35.8055898779632,-0.7074281837120905,56.20105464404526,-0.17705123356867788,59.66925743539142
KGZ,Kyrgyz Republic,2022,1739.72018344174,8.96750520041391,13.9229093174176,10.0,5.19936059005824,4.767,23.8319458168086,29.8791490055397,19.6572842421774,61.6068894493144,35.6406881799816,3.06541572030547,9.75408503103579,46.3372718307792,-0.2937208521128596,46.82191221959744,-0.12846265452447198,58.69766597739652
KGZ,Kyrgyz Republic,2023,2138.22210211478,9.0132928339342,10.7532770416742,10.0,5.42703271096246,3.498,23.7050047610836,30.6665367053302,19.8591989518512,61.5475158691892,34.4590059457311,4.20270055640122,18.3679451852202,36.8882232535821,1.586390351691347,41.9502611374866,0.05902270271651377,54.94865386019225
KGZ,Kyrgyz Republic,2024,2420.18542283831,9.04013556120012,4.99760701207323,10.0,5.68194389959712,3.491,25.6307764379006,31.6125287881916,4.74006412555852,61.3514807542057,29.7809636564477,4.20270055640122,18.3679451852202,43.4429915578402,1.707874385505477,36.22969997992995,0.14749784145469508,53.17947907192106
KGZ,Kyrgyz Republic,2025,1264.52668823891,4.60062565707598,6.50331838993384,10.0,5.11075579228056,3.526,25.6307764379006,28.1308467721619,8.41522543621389,59.488277666114,33.9391792937351,4.20270055640122,18.3679451852202,36.8882232535821,-0.0668000947998024,36.0254172723909,-0.0717108540656313,57.56284035301522
LAO,Lao PDR,2010,1125.91610151261,8.52690551739717,5.98254521550082,5.0,3.78172029464206,0.708,11.0270983449829,14.5046102489181,9.19657111138675,66.8701503366016,27.4624877401915,5.9002604798796,9.67471725208214,35.384026037956,-1.469136839799214,49.31502899179991,-0.7869982515048528,71.86593665741783
LAO,Lao PDR,2011,1361.54704394913,8.03865268023725,7.5689885610998,5.0,3.86552588542291,0.96,10.7431744902983,14.4914902770389,10.4687175993929,65.1060874765986,28.0678025249814,4.96818599403534,18.4030781501972,40.3431560976816,-1.429071372726675,43.00450427166352,-0.6835352621408224,69.79706041814248
LAO,Lao PDR,2012,1563.5650771337,8.02609843461283,4.2551267783209,5.0,3.94854837675476,1.208,10.9849961277883,15.2282456381955,7.52885930495688,63.5619645767597,32.504255276611,3.88065756169457,6.86800094502208,37.8767283501759,-2.344185332280226,46.10324228307772,-0.8396430866038875,72.91863819954848
LAO,Lao PDR,2013,1812.51774424651,8.02630022699017,6.37142717782947,5.0,4.02942832927052,1.469,16.8133673347985,15.6329490555884,6.47397208343337,62.1659308998986,30.6473220372757,2.9760379272709,5.71723106857918,38.1731033983004,-4.030674230940835,49.49335341429367,-0.8606286396002858,73.33827146386045
LAO,Lao PDR,2014,1981.03910900473,7.61196343979319,4.12924306873771,5.0,4.11171786370079,1.733,15.4860759577741,16.092664363216,5.72655918174564,60.8514855524134,29.8013514004447,2.31357537630688,10.1718371634744,40.7545466511497,-3.132231383350066,53.53410605202658,-0.7945788055358396,72.01751963613953
LAO,Lao PDR,2015,2121.01339097363,7.27006584373785,1.27735427102992,5.0,4.13108857261085,2.006,14.8922832872787,15.8072953979463,2.34849600685918,59.6548580377812,31.556651604237,1.80328501860489,10.7473654724725,33.9522573081909,-5.570364601091012,53.05220945592687,-0.9257559304262485,74.64057584677491
LAO,Lao PDR,2016,2303.22156035363,7.02283625501138,1.59691227583204,9.0,4.10183240872785,2.634,13.8677242784984,14.6965906330648,3.02230644256338,58.634824292374,29.0076540961796,1.60498643498032,17.6387955255376,33.209427456122,-5.060118302507036,54.47430854412179,-0.6396614990402035,68.91974780070885
LAO,Lao PDR,2017,2432.43059478511,6.8925308726989,0.825478607568026,9.0,4.10222242423819,3.268,12.3355348883473,14.6214039802357,1.85209676121123,57.8022683207452,29.8013514004447,1.83634042604336,10.1718371634744,37.8767283501759,-5.50867160536596,57.19823650204408,-0.7382724927356722,70.89160211346285
LAO,Lao PDR,2018,2545.1075420815,6.24796000755872,2.04039266890201,9.0,4.1282707951479,2.897,12.310264175207,14.3221960942513,1.91988919391754,57.1092477648772,29.8013514004447,1.39712197093397,10.1718371634744,37.8767283501759,-4.464936877262642,60.58785561543559,-0.7081486962386903,70.28923785555327
