country_code,year,fiscal_balance_pct_gdp,gross_debt_pct_gdp
ABW,2010,-3.486737703779583,54.66234708906476
ABW,2011,-6.428933759981431,59.34671082898355
ABW,2012,-8.954924813451528,65.53305552309727
ABW,2013,-6.047696680285477,70.03191516735978
ABW,2014,-7.458533518899215,77.7091609647038
ABW,2015,-1.475285585978031,74.17690273702877
ABW,2016,-1.454977313656562,75.38737961850543
ABW,2017,-2.587020088351427,75.82504246402252
ABW,2018,-2.641023441531025,73.3095805915416
ABW,2019,-0.2461319801818224,72.09650713935157
ABW,2020,-16.80475933442439,116.3155151737988
ABW,2021,-9.867626391070466,109.6714203941169
ABW,2022,-0.495905418460075,96.05982354070046
ABW,2023,3.003906560324209,80.27967590029154
ABW,2024,3.687400429599024,68.64624786850557
ABW,2025,1.862396273811434,63.60103143420391
ABW,2026,1.86525490514862,60.26105548108725
AFG,2010,0.9333436254953815,7.69694931974591
AFG,2011,-0.6718216975243956,7.501084370569456
AFG,2012,0.1820570524532652,6.759467879085463
AFG,2013,-0.6309455695612631,6.904479170745349
AFG,2014,-1.718796808442897,8.700291049683887
AFG,2015,-1.377700328685467,9.154082856646436
AFG,2016,0.1272579844933607,8.437266097237892
AFG,2017,-0.6731059061426188,7.997660199165257
AFG,2018,1.634195740249465,7.384412942333211
AFG,2019,-1.058081117850457,6.136346520536919
AFG,2020,-2.24279939297291,7.33114732934028
AFG,2021,-0.4849388179106889,11.13573273412205
AFG,2022,-0.9973367167110265,10.64268028527618
AFG,2023,-1.329703504047239,8.25452015971552
AFG,2024,-0.5480518037099003,8.912023281567315
AFG,2025,-0.8907613703587256,7.976093579900092
AGO,2010,2.955558052305022,32.59368942321673
AGO,2011,7.174917976739919,26.31785289800561
AGO,2012,3.67293319199977,23.80535437945064
AGO,2013,-0.2825322061987822,29.47305436798042
AGO,2014,-5.078021971375637,35.27418622988755
AGO,2015,-2.58208548736783,50.38581889515291
AGO,2016,-3.93417815396481,65.69162321621218
AGO,2017,-5.682721202293789,59.60719665347327
AGO,2018,1.998795721212354,81.63550331776241
AGO,2019,-0.1954095119126155,100.7992902521759
AGO,2020,-3.04626106221528,119.8386056006354
AGO,2021,1.352043347169751,75.50273346552522
AGO,2022,1.779135998630764,57.42717434302601
AGO,2023,-2.491800287981756,75.73910370709493
AGO,2024,-1.192327165217637,57.10685832180818
AGO,2025,-4.070236577365188,51.31089761483211
AGO,2026,-2.445145487598515,51.57865879330143
ALB,2010,-3.520121858902918,57.71955223359426
ALB,2011,-3.5163119530813,59.41262646973763
ALB,2012,-3.440600382854514,62.14446706847297
ALB,2013,-5.215218883008393,70.39106314100206
ALB,2014,-5.457544154740531,71.99229983204457
ALB,2015,-4.317810633098221,73.71633560318777
ALB,2016,-1.497589913539488,73.3244097512764
ALB,2017,-1.405554027733019,71.8947828706746
ALB,2018,-1.579804275242702,68.4643267042891
ALB,2019,-1.842748778875353,66.60169295928182
ALB,2020,-6.665147142345335,75.38096031773388
ALB,2021,-4.571152295777753,74.79465950442503
ALB,2022,-3.638722643463161,64.69719144319524
ALB,2023,-1.318767974627195,57.97460748721001
ALB,2024,-0.7245665708421395,54.50481456078356
ALB,2025,-1.746465398877695,52.59890517345323
ALB,2026,-2.021591650392397,51.53967081117652
AND,2010,-0.343485233888353,35.01965561366632
AND,2011,0.4174901408396683,36.49250926273962
AND,2012,-1.648178088522675,41.53232467715615
AND,2013,3.360523582473155,42.53287531087027
AND,2014,2.143372826462121,42.02477778364309
AND,2015,1.654706169790536,40.95549431101885
AND,2016,4.082614886161277,39.77285754683093
AND,2017,3.349103215275477,37.85357110582282
AND,2018,2.680237231907297,36.34428882275885
AND,2019,2.314945977178703,35.36520461819033
AND,2020,-1.049764463136435,46.35275711254835
AND,2021,-1.154774945659328,48.61417944695248
AND,2022,4.845098370873841,38.91611529821108
AND,2023,2.150282228659251,35.4406983985511
AND,2024,2.783463155570543,32.88852490606031
AND,2025,3.498424739095242,30.28159107498815
AND,2026,2.238496661595304,28.04641111375343
ARE,2010,0.5186560716783081,18.33751466603903
ARE,2011,5.053237163816623,20.40716153791643
ARE,2012,8.588207802837228,20.22685879796691
