country_code,country,year,gdp_per_capita,real_gdp_growth,inflation_rate,compulsory_education_years,population_65_plus_pct,fertility_rate,unemployment_rate,government_expenditure_pct_gdp,government_revenue_pct_gdp,gdp_deflator_inflation,current_account_pct_gdp,age_dependency_ratio,gross_capital_formation_pct_gdp,total_reserves_months_imports,savings_pct_gdp,exports_pct_gdp
AFG,Afghanistan,2010,560.621505463146,14.3624414710737,2.17853752389418,9.0,2.30661490116607,6.195,7.809,50.8630045999057,11.0919491573205,3.81463031545211,-3.64331388234628,103.144455694301,14.146241192973651,10.4573872731044,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2011,606.694676337726,0.426354776777345,11.8041858089129,9.0,2.32214045471626,6.094,7.83,59.4847758807514,11.5101607150307,16.5933467401627,-12.6195382087159,101.458308292088,14.146241192973651,10.3439728750425,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2012,651.417134470046,12.7522870926697,6.44121280934117,9.0,2.33791133871121,5.985,7.875,42.3292514484608,10.2006246425162,7.30175646760432,-25.8706814974751,99.7731309368865,14.146241192973651,8.67720885361815,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2013,637.087099117099,5.60074465863221,7.38577178397855,9.0,2.34976901406028,5.879,7.921,42.0936844468805,9.40560933162746,4.82278547876986,-25.290058564309,98.063558808759,14.146241192973651,8.58813766628176,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2014,625.054941813938,2.72454336219565,4.67399603536344,9.0,2.35653566515757,5.77,7.915,44.5892994893339,8.61373050462046,0.56694454253261,-15.7724198274304,96.3463937851296,14.146241192973651,10.7026948461815,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2015,565.569730408751,1.45131466066431,-0.661709164713741,9.0,2.35669506261475,5.652,9.032,37.0225695736427,10.1311181683697,2.44756300147404,-21.9126573355151,94.6132337112821,14.146241192973651,9.77019396043117,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2016,522.082215583898,2.26031420279821,4.38389195513914,9.0,2.35549736125691,5.542,10.116,43.9227656125389,12.678009904576,-2.19752646733461,-14.9501951919169,92.8898712202104,14.146241192973651,11.8280603760738,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2017,525.469770891619,2.6470032027451,4.97595150553832,9.0,2.35973702156897,5.433,11.184,39.2201099807684,13.0392622227544,2.40365618765746,-18.9559612272258,91.2936186853936,14.146241192973651,12.1342766418313,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2018,491.337221382603,1.18922812944517,0.626149149168846,9.0,2.36712047688815,5.327,11.192,43.12600853049985,10.64628689991835,2.07134857783487,-21.5852741164653,89.8496059758101,14.146241192973651,12.178586861258,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2019,496.6025042585,3.91160341625552,2.30237251516833,9.0,2.37615338349114,5.238,11.187,43.12600853049985,10.64628689991835,6.52147984832531,-20.1704643881064,88.5120276122222,14.146241192973651,13.7489091058633,-2.73776944122657,15.5974704590686
AFG,Afghanistan,2020,510.787063366811,-2.35110067203466,5.60188791482224,9.0,2.37073382439812,5.145,11.71,43.12600853049985,10.64628689991835,6.9629462552564,-15.7183027911684,87.2478169146763,11.5,16.6316336551941,-2.73776944122657,10.4208171386207
AFG,Afghanistan,2021,356.496214115892,-20.7388393676343,5.13320340824962,9.0,2.35254951873996,5.039,12.006,43.12600853049985,10.64628689991835,2.83899625081041,-18.9559612272258,86.0834681804276,13.0,10.7026948461815,-2.73776944122657,14.342152797537
AFG,Afghanistan,2022,357.261152798144,-6.24017199240269,13.7121023720064,9.0,2.35514236704931,4.932,14.1,43.12600853049985,10.64628689991835,9.40623933931322,-18.9559612272258,84.9624893289139,16.7,10.7026948461815,-2.73776944122657,18.3800424016375
AFG,Afghanistan,2023,413.757894705303,2.26694373649188,-4.64470870797774,9.0,2.37753752819851,4.84,14.008,43.12600853049985,10.64628689991835,2.92366213121669,-18.9559612272258,83.8361728436287,15.2924823859473,10.7026948461815,-2.73776944122657,16.8527881206002
